query,source_id,source_title,source_release_year,source_genres,qdrant_rank,recommended_id,recommended_title,recommended_release_year,recommended_genres,vote_average,vote_count,popularity,recommendation_quality_score,similarity_score,genre_overlap,rating_norm,vote_count_norm,popularity_norm,quality_norm,hybrid_score,hybrid_rank,rank
Interstellar,157336,Interstellar,2014,adventure drama science fiction,1,286217,The Martian,2015,science fiction drama adventure,7.7,21253,14.3324,1.0,0.9460315,1.0,0.77,0.5316838866234709,0.016253126190004765,1.0,0.8328944797631781,1,1
Interstellar,157336,Interstellar,2014,adventure drama science fiction,2,687163,Project Hail Mary,2026,science fiction adventure,8.671,4888,198.4691,1.0,0.93543583,0.75,0.8671,0.12228254071498261,0.2250665155254301,1.0,0.8170523403439787,2,2
Interstellar,157336,Interstellar,2014,adventure drama science fiction,6,329865,Arrival,2016,drama science fiction mystery,7.626,19383,14.8564,1.0,0.91860884,0.6,0.7626000000000001,0.4849023090586146,0.016847348938711367,1.0,0.809257687150399,3,3
Interstellar,157336,Interstellar,2014,adventure drama science fiction,4,13475,Star Trek,2009,science fiction action adventure,7.431,10500,7.3982,1.0,0.92261237,0.6,0.7431,0.2626773071823481,0.00838965408297935,1.0,0.7917401193603963,4,4
Interstellar,157336,Interstellar,2014,adventure drama science fiction,9,274870,Passengers,2016,drama romance science fiction,6.955,14243,6.445,1.0,0.91025376,0.6,0.6955,0.3563155129712556,0.007308713006515357,1.0,0.7857444829481566,5,5
Interstellar,157336,Interstellar,2014,adventure drama science fiction,3,95,Armageddon,1998,action science fiction adventure,6.835,8589,8.7552,1.0,0.9261312,0.6,0.6835,0.21487003727516074,0.009928509560068776,1.0,0.7845264386512177,6,6
Interstellar,157336,Interstellar,2014,adventure drama science fiction,18,601,E.T. the Extra-Terrestrial,1982,drama family fantasy science fiction,7.5,12016,12.1143,1.0,0.89900607,0.5,0.75,0.3006029069621995,0.013737772222626687,1.0,0.7793141256125599,7,7
Interstellar,157336,Interstellar,2014,adventure drama science fiction,24,49047,Gravity,2013,science fiction thriller drama,7.169,16359,6.6335,1.0,0.8914448,0.6,0.7169,0.4092512445900983,0.007522474434246644,1.0,0.7789680327776053,8,8
Interstellar,157336,Interstellar,2014,adventure drama science fiction,5,75,Mars Attacks!,1996,comedy fantasy science fiction,6.423,5884,5.3605,1.0,0.9219886,0.3333333333333333,0.6423,0.14719935956770822,0.00607887603901095,1.0,0.7718234900881474,9,9
Interstellar,157336,Interstellar,2014,adventure drama science fiction,17,686,Contact,1997,drama science fiction mystery,7.444,5004,6.9479,1.0,0.9015026,0.6,0.7444,0.1251844995371876,0.007879008083470605,1.0,0.7660581105288179,10,10
Inception,27205,Inception,2010,action science fiction adventure,10,1124,The Prestige,2006,drama mystery science fiction,8.208,17617,13.6104,1.0,0.8392017,0.3333333333333333,0.8208,0.44072248767918343,0.015434368891214372,1.0,0.7558593948367197,1,1
Inception,27205,Inception,2010,action science fiction adventure,48,37165,The Truman Show,1998,comedy drama,8.154,20267,21.4471,1.0,0.8154166,0.0,0.8154,0.5070172366347284,0.024321287621727777,1.0,0.7445954890642993,2,2
Inception,27205,Inception,2010,action science fiction adventure,4,131634,The Hunger Games: Mockingjay - Part 2,2015,action adventure science fiction,6.9,13350,6.7358,1.0,0.85448706,1.0,0.6900000000000001,0.33397543341755687,0.007638483951789937,1.0,0.7443936705500297,3,3
Inception,27205,Inception,2010,action science fiction adventure,20,101299,The Hunger Games: Catching Fire,2013,adventure action science fiction,7.427,18459,8.7049,1.0,0.8269808,1.0,0.7426999999999999,0.4617867060265679,0.00987146871224446,1.0,0.7407904992919825,4,4
Inception,27205,Inception,2010,action science fiction adventure,11,131631,The Hunger Games: Mockingjay - Part 1,2014,science fiction adventure thriller,6.8,16740,10.015,1.0,0.8374109,0.6,0.6799999999999999,0.4187826783078578,0.011357138985298883,1.0,0.7384852439935995,5,5
Inception,27205,Inception,2010,action science fiction adventure,3,1635,The Island,2005,action thriller science fiction,6.697,5884,5.5313,1.0,0.8661348,0.6,0.6697,0.14719935956770822,0.006272565438780201,1.0,0.7354793883461312,6,6
Inception,27205,Inception,2010,action science fiction adventure,1,339988,The Circle,2017,drama thriller science fiction,5.523,4589,2.3815,1.0,0.8851342,0.3333333333333333,0.5523,0.11480249168188528,0.0027006516718411674,1.0,0.7341971849515797,7,7
Inception,27205,Inception,2010,action science fiction adventure,9,49530,In Time,2011,action thriller science fiction,6.971,12172,9.5231,1.0,0.84096295,0.6,0.6971,0.30450554124033724,0.010799318050014956,1.0,0.733500460562728,8,8
Inception,27205,Inception,2010,action science fiction adventure,16,51876,Limitless,2011,thriller mystery science fiction,7.202,11493,6.9639,1.0,0.82839847,0.3333333333333333,0.7202,0.28751907537587873,0.007897152289537981,1.0,0.7254532556903379,9,9
Inception,27205,Inception,2010,action science fiction adventure,2,9620,Paycheck,2003,action adventure mystery science fiction thriller,6.22,2039,4.0723,1.0,0.869462,0.6666666666666666,0.622,0.05100943136617216,0.004618040648011247,1.0,0.7252274173546546,10,10
The Dark Knight,155,The Dark Knight,2008,action crime thriller,1,49026,The Dark Knight Rises,2012,action crime drama thriller,7.795,24399,15.525,1.0,0.9510254,0.75,0.7795,0.610387011232582,0.01760554994975189,1.0,0.8437311293950891,1,1
The Dark Knight,155,The Dark Knight,2008,action crime thriller,3,272,Batman Begins,2005,drama crime action,7.727,22645,13.2448,1.0,0.9280948,0.5,0.7727,0.5665073924899307,0.015019773782574802,1.0,0.8233083355639748,2,2
The Dark Knight,155,The Dark Knight,2008,action crime thriller,2,268,Batman,1989,fantasy action crime,7.2,8583,8.1085,1.0,0.9467982,0.5,0.72,0.21471993595677083,0.009195143431082974,1.0,0.8025799949167175,3,3
The Dark Knight,155,The Dark Knight,2008,action crime thriller,4,414906,The Batman,2022,crime mystery thriller,7.7,11975,23.9583,1.0,0.91624945,0.5,0.77,0.2995772146198684,0.02716902076400262,1.0,0.7942426236230696,4,4
The Dark Knight,155,The Dark Knight,2008,action crime thriller,5,364,Batman Returns,1992,action fantasy,6.946,7099,6.4042,1.0,0.9154409,0.25,0.6946,0.17759487654166561,0.007262445281043546,1.0,0.7749845912930063,5,5
The Dark Knight,155,The Dark Knight,2008,action crime thriller,6,495764,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,action crime,6.877,10820,7.6826,1.0,0.9015551,0.6666666666666666,0.6877,0.2706827108298101,0.00871216734582698,1.0,0.7721230385805927,6,6
The Dark Knight,155,The Dark Knight,2008,action crime thriller,32,752,V for Vendetta,2006,action thriller science fiction,7.901,15579,7.9,1.0,0.8689959,0.4,0.7901,0.3897380731994096,0.008958701745767468,1.0,0.7691132849781566,7,7
The Dark Knight,155,The Dark Knight,2008,action crime thriller,11,22803,Law Abiding Citizen,2009,drama crime thriller,7.394,5682,6.6079,1.0,0.89670515,0.5,0.7394000000000001,0.14214594851524778,0.007493443704538841,1.0,0.7635298219405375,8,8
The Dark Knight,155,The Dark Knight,2008,action crime thriller,8,14919,Batman: Mask of the Phantasm,1993,animation crime mystery,7.496,1247,4.0949,1.0,0.9002696,0.2,0.7496,0.031196057338703623,0.004643669339081418,1.0,0.757969461440832,9,9
The Dark Knight,155,The Dark Knight,2008,action crime thriller,29,23483,Kick-Ass,2010,action crime,7.125,12391,8.0225,1.0,0.8715099,0.6666666666666666,0.7125,0.30998423936156905,0.009097618323470825,1.0,0.7567425024315685,10,10
Titanic,597,Titanic,1997,drama romance,1,59709,Britannic,2000,action drama history tv movie war,6.833,78,1.4803,1.0,0.8973998,0.14285714285714285,0.6833,0.0019513171390688716,0.0016786792650961494,1.0,0.7467834729196823,1,1
Titanic,597,Titanic,1997,drama romance,19,11036,The Notebook,2004,romance drama,7.888,12564,19.6189,1.0,0.82763624,1.0,0.7888,0.3143121607084782,0.022248085275954097,1.0,0.7349277068259952,2,2
Titanic,597,Titanic,1997,drama romance,20,4922,The Curious Case of Benjamin Button,2008,drama fantasy romance,7.6,13740,8.1756,1.0,0.8268054,0.6666666666666666,0.76,0.3437320191129012,0.009271235695278037,1.0,0.7329113280277015,3,3
Titanic,597,Titanic,1997,drama romance,26,8358,Cast Away,2000,adventure drama,7.662,12281,7.8615,1.0,0.8202063,0.3333333333333333,0.7662,0.307232381857754,0.008915042249917841,1.0,0.7259670535061147,4,4
Titanic,597,Titanic,1997,drama romance,12,363676,Sully,2016,drama history,7.204,7726,5.2346,1.0,0.8342587,0.3333333333333333,0.7203999999999999,0.19328046431341156,0.005936103817518277,1.0,0.7218990544122992,5,5
Titanic,597,Titanic,1997,drama romance,6,205775,In the Heart of the Sea,2015,thriller drama adventure action history,6.8,4356,4.493,1.0,0.84506285,0.16666666666666666,0.6799999999999999,0.10897355715107698,0.005095119866295346,1.0,0.7186185379627268,6,6
Titanic,597,Titanic,1997,drama romance,4,2133,The Perfect Storm,2000,drama adventure action,6.5,2562,4.1102,1.0,0.85106003,0.25,0.65,0.06409326295249293,0.004661019736133347,1.0,0.7161957534177287,7,7
Titanic,597,Titanic,1997,drama romance,2,52886,Castaway,1986,adventure romance drama,6.3,122,0.6704,1.0,0.8560762,0.6666666666666666,0.63,0.0030520601405949017,0.0007602422342231025,1.0,0.7125507217676431,8,8
Titanic,597,Titanic,1997,drama romance,10,429300,Adrift,2018,thriller romance adventure,6.841,2699,2.8518,1.0,0.8395798,0.25,0.6841,0.06752057638906261,0.0032339779289341343,1.0,0.7117438845661503,9,9
Titanic,597,Titanic,1997,drama romance,16,8619,Master and Commander: The Far Side of the World,2003,adventure drama war,7.198,3532,3.9537,1.0,0.82909524,0.25,0.7198,0.08835964275886223,0.004483546720536814,1.0,0.7097292876911465,10,10
Toy Story,862,Toy Story,1995,family comedy animation adventure,1,10193,Toy Story 3,2010,animation family comedy,7.807,15750,25.2288,1.0,0.93864965,0.75,0.7807000000000001,0.39401596077352213,0.028609784127040287,1.0,0.8186487167507746,1,1
Toy Story,862,Toy Story,1995,family comedy animation adventure,4,585,"Monsters, Inc.",2001,animation comedy family fantasy,7.851,19808,23.8907,1.0,0.91070324,0.6,0.7851,0.4955344857779001,0.02709236149336795,1.0,0.8075414921667678,2,2
Toy Story,862,Toy Story,1995,family comedy animation adventure,2,863,Toy Story 2,1999,animation comedy family,7.608,14918,26.1979,1.0,0.9277019,0.75,0.7607999999999999,0.3732019112901208,0.029708756008283738,1.0,0.8074070958237896,3,3
Toy Story,862,Toy Story,1995,family comedy animation adventure,3,301528,Toy Story 4,2019,family comedy animation adventure,7.5,10551,24.6535,1.0,0.92736816,1.0,0.75,0.26395316838866234,0.027957386517630158,1.0,0.7972309825273272,4,4
